page,pii_type,category,redacted_text,detection_method,timestamp
1,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
1,CONFIDENTIAL_CLAUSE,Confidential Clause,CONFIDENTIAL,regex,2026-03-13T02:26:14
1,CONFIDENTIAL_CLAUSE,Confidential Clause,ATTORNEY-CLIENT,regex,2026-03-13T02:26:14
1,CONFIDENTIAL_CLAUSE,Confidential Clause,PRIVATE AND CONFIDENTIAL,regex,2026-03-13T02:26:14
1,CONFIDENTIAL_CLAUSE,Confidential Clause,DO NOT DISCLOSE,regex,2026-03-13T02:26:14
1,CONTRACT_NUM,Case / Legal ID,"AGREEMENT
Contract",regex,2026-03-13T02:26:14
1,CONTRACT_NUM,Case / Legal ID,"AGREEMENT
Contract",regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,00891,regex,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Docket Reference,spacy,2026-03-13T02:26:14
1,CASE_NUMBER,Case / Legal ID,CV-2024-,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,04471,regex,2026-03-13T02:26:14
1,CONTRACT_NUM,Case / Legal ID,"AGREEMENT
CLIENT",regex,2026-03-13T02:26:14
1,CONTRACT_NUM,Case / Legal ID,"AGREEMENT
CLIENT",regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,Mr. Hamza Tariq Siddiqui,regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,Mr. Tariq Mehmood Siddiqui,regex,2026-03-13T02:26:14
1,NATIONAL_ID,Government ID,CNIC No.: 35202-8871234-5,regex,2026-03-13T02:26:14
1,NATIONAL_ID,Government ID,Passport No.: AP5672341,regex,2026-03-13T02:26:14
1,DATE,Temporal,14/03/1988,spacy,2026-03-13T02:26:14
1,CASE_NUMBER,Case / Legal ID,No. 47-,regex,2026-03-13T02:26:14
1,PERSON,Personal Name,Gulberg III,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
1,LOCATION,Address,Pakistan,spacy,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,PHONE,Contact Information,+92-300-8871234,regex,2026-03-13T02:26:14
1,EMAIL,Contact Information,hamza.siddiqui@gmail.com,regex,2026-03-13T02:26:14
1,DATE,Temporal,2345678,spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Al-Noor Legal Consultants (Pvt.),spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,Al-Noor Legal Consultants (Pvt.),spacy,2026-03-13T02:26:14
1,ZIP_CODE,Address,00234,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,00234,regex,2026-03-13T02:26:14
1,TAX_ID,Financial,NTN: 7654321-0,regex,2026-03-13T02:26:14
1,TAX_ID,Financial,STRN: 32-00-9987-001-17,regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,Dr. Ayesha Rehman Malik,regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,"Esq.
Bar Council No",regex,2026-03-13T02:26:14
1,HONORIFIC_NAME,Personal Name,"Esq.
Bar Council No",regex,2026-03-13T02:26:14
1,ORGANIZATION,Organization,PBC-LHR-2009-1145,spacy,2026-03-13T02:26:14
1,ORGANIZATION,Organization,3rd Floor,spacy,2026-03-13T02:26:14
1,PERSON,Personal Name,Tower,spacy,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,ZIP_CODE,Address,54000,regex,2026-03-13T02:26:14
1,PHONE,Contact Information,+92-42-35761234,regex,2026-03-13T02:26:14
1,PHONE,Contact Information,+92-321-4001234,regex,2026-03-13T02:26:14
1,EMAIL,Contact Information,info@alnoorlegal.com.pk,regex,2026-03-13T02:26:14
1,URL,Contact Information,www.alnoorlegal.com.pk,regex,2026-03-13T02:26:14
1,ORGANIZATION,Organization,BACKGROUND,spacy,2026-03-13T02:26:14
